,Name,Age,Height,Weight,Team,Sex,NOC,Games,Year,Season,City,Sport,Event,Medal
43114,Calvin Thomas Coffey,25.0,188.0,91.0,United States,M,USA,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxless Pairs,Silver
43117,Roy Riddell Coffin,34.0,0.0,0.0,United States,M,USA,1932 Summer,1932,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Bronze
43118,"Edmund Sloane ""Tad"" Coffin",21.0,180.0,66.0,United States,M,USA,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
43119,"Edmund Sloane ""Tad"" Coffin",21.0,180.0,66.0,United States,M,USA,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
43130,Corey Cogdell-Unrein,21.0,173.0,70.0,United States,F,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Women's Trap,Bronze
43132,Corey Cogdell-Unrein,29.0,173.0,70.0,United States,F,USA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Trap,Bronze
43133,Veronica Cogeanu-Cochela,22.0,175.0,78.0,Romania,F,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Double Sculls,Silver
43134,Veronica Cogeanu-Cochela,22.0,175.0,78.0,Romania,F,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Quadruple Sculls,Bronze
43135,Veronica Cogeanu-Cochela,26.0,175.0,78.0,Romania,F,ROU,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Double Sculls,Silver
43136,Veronica Cogeanu-Cochela,26.0,175.0,78.0,Romania,F,ROU,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Quadruple Sculls,Silver
43137,Veronica Cogeanu-Cochela,30.0,175.0,78.0,Romania,F,ROU,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Coxed Eights,Gold
43139,Veronica Cogeanu-Cochela,34.0,175.0,78.0,Romania,F,ROU,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
43140,Joseph Hubert Cogels,26.0,0.0,0.0,Belgium,M,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Trap, Team",Silver
43141,Juan Lus Coghen Alberdingk-Thijm,21.0,182.0,79.0,Spain,M,ESP,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,Silver
43142,Mercedes Coghen Alberdingk-Thijm,29.0,170.0,55.0,Spain,F,ESP,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,Gold
43149,Roxana Gabriela Cogianu,29.0,180.0,72.0,Romania,F,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
43150,Ottavio Cogliati,21.0,173.0,69.0,Italy,M,ITA,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
43167,"Donald Smith ""Don"" Cohan",42.0,178.0,82.0,United States,M,USA,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Bronze
43182,Henri Cohen,0.0,0.0,0.0,Brussels Swimming and Water Polo Club,M,BEL,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Silver
43190,Nathan Cohen,26.0,184.0,87.0,New Zealand,M,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,Gold
43199,"Alexandra Pauline ""Sasha"" Cohen",21.0,157.0,43.0,United States,F,USA,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Women's Singles,Silver
43210,"Tiffany Lisa Cohen (-Adams, -Lalonde)",18.0,175.0,63.0,United States,F,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,Gold
43211,"Tiffany Lisa Cohen (-Adams, -Lalonde)",18.0,175.0,63.0,United States,F,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 800 metres Freestyle,Gold
43217,Harvey Wright Cohn,23.0,172.0,61.0,United States,M,USA,1908 Summer,1908,Summer,London,Athletics,"Athletics Men's 3 mile, Team",Silver
43224,Norman Cudworth Cohn-Armitage,41.0,185.0,81.0,United States,M,USA,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",Bronze
43229,Ren Coicaud,29.0,0.0,0.0,France,M,FRA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Team",Silver
43242,Adelina Maria Cojocariu-Bogus,27.0,186.0,75.0,Romania,F,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
43243,Christeana Cojocaru (-Matei),22.0,172.0,62.0,Romania,F,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,Bronze
43253,Trevor Ivan Coker,22.0,192.0,87.0,New Zealand,M,NZL,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,Gold
43254,Trevor Ivan Coker,26.0,192.0,87.0,New Zealand,M,NZL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Bronze
43263,Massimo Colaci,31.0,180.0,75.0,Italy,M,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Silver
