State,District,Type_of_Crime,Crime,Count
Karnataka,BANGALORE COMMR.,Property Crime,Burglary,2479
Karnataka,BANGALORE COMMR.,Negligence,Causing_Death_By_Negligence,1422
Karnataka,BANGALORE COMMR.,Violent Crime,Riots,1207
Karnataka,BANGALORE COMMR.,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,956
Karnataka,BANGALORE COMMR.,Violent Crime,Attempt_To_Murder,763
Karnataka,BANGALORE COMMR.,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,668
Karnataka,BANGALORE COMMR.,Property Crime,Robbery,647
Karnataka,BANGALORE COMMR.,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,522
Karnataka,BANGALORE COMMR.,Trust/Deception Crime,Criminal_Breach_Of_Trust,485
Karnataka,BANGALORE COMMR.,Sexual Crime,Other_Rape,272
Karnataka,BANGALORE COMMR.,Family-Related Crime,Dowry_Deaths,223
Karnataka,BANGALORE COMMR.,Violent Crime,Murder,219
Karnataka,BANGALORE COMMR.,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,158
Karnataka,BANGALORE COMMR.,Kidnapping/Abduction,Kidnapping_And_Abduction,99
Karnataka,BANGALORE COMMR.,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,85
Karnataka,BANGALORE COMMR.,Trust/Deception Crime,Counterfieting,81
Karnataka,BANGALORE COMMR.,Sexual Crime,Rape,34
Karnataka,BANGALORE COMMR.,Sexual Crime,Insult_To_Modesty_Of_Women,17
Karnataka,BANGALORE COMMR.,Sexual Crime,Custodial_Rape,0
Karnataka,BANGALORE COMMR.,Other,Importation_Of_Girls_From_Foreign_Countries,0
Karnataka,BELGAUM,Property Crime,Theft,7349
Karnataka,BELGAUM,Violent Crime,Hurt/Grevious_Hurt,6223
Karnataka,BELGAUM,Property Crime,Other_Theft,3982
Karnataka,BELGAUM,Property Crime,Auto_Theft,3367
Karnataka,BELGAUM,Trust/Deception Crime,Cheating,2095
Karnataka,BELGAUM,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,2060
Karnataka,BELGAUM,Negligence,Causing_Death_By_Negligence,2021
Karnataka,BELGAUM,Property Crime,Burglary,1930
Karnataka,BELGAUM,Violent Crime,Riots,1680
Karnataka,BELGAUM,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1184
Karnataka,BELGAUM,Violent Crime,Attempt_To_Murder,945
Karnataka,BELGAUM,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,860
Karnataka,BELGAUM,Trust/Deception Crime,Criminal_Breach_Of_Trust,490
Karnataka,BELGAUM,Sexual Crime,Other_Rape,456
Karnataka,BELGAUM,Family-Related Crime,Dowry_Deaths,266
Karnataka,BELGAUM,Violent Crime,Murder,211
Karnataka,BELGAUM,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,183
Karnataka,BELGAUM,Property Crime,Robbery,124
Karnataka,BELGAUM,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,110
Karnataka,BELGAUM,Kidnapping/Abduction,Kidnapping_And_Abduction,95
Karnataka,BELGAUM,Sexual Crime,Insult_To_Modesty_Of_Women,79
Karnataka,BELGAUM,Sexual Crime,Rape,69
Karnataka,BELGAUM,Trust/Deception Crime,Counterfieting,35
Karnataka,BELGAUM,Sexual Crime,Custodial_Rape,0
Karnataka,BELGAUM,Other,Importation_Of_Girls_From_Foreign_Countries,0
Karnataka,BIJAPUR,Property Crime,Theft,6868
Karnataka,BIJAPUR,Violent Crime,Hurt/Grevious_Hurt,5440
Karnataka,BIJAPUR,Property Crime,Auto_Theft,3499
Karnataka,BIJAPUR,Property Crime,Other_Theft,3369
Karnataka,BIJAPUR,Property Crime,Burglary,2321
Karnataka,BIJAPUR,Negligence,Causing_Death_By_Negligence,2294
Karnataka,BIJAPUR,Trust/Deception Crime,Cheating,2255
Karnataka,BIJAPUR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1610
Karnataka,BIJAPUR,Violent Crime,Riots,1592
Karnataka,BIJAPUR,Violent Crime,Attempt_To_Murder,1192
Karnataka,BIJAPUR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,1036
Karnataka,BIJAPUR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1015
Karnataka,BIJAPUR,Sexual Crime,Other_Rape,510
Karnataka,BIJAPUR,Trust/Deception Crime,Criminal_Breach_Of_Trust,481
Karnataka,BIJAPUR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,273
Karnataka,BIJAPUR,Family-Related Crime,Dowry_Deaths,268
Karnataka,BIJAPUR,Sexual Crime,Insult_To_Modesty_Of_Women,153
Karnataka,BIJAPUR,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,130
Karnataka,BIJAPUR,Violent Crime,Murder,49
Karnataka,BIJAPUR,Trust/Deception Crime,Counterfieting,40
Karnataka,BIJAPUR,Property Crime,Preparation_And_Assembly_For_Dacoity,31
Karnataka,BIJAPUR,Kidnapping/Abduction,Kidnapping_And_Abduction,22
Karnataka,BIJAPUR,Sexual Crime,Rape,19
Karnataka,BIJAPUR,Sexual Crime,Custodial_Rape,0
Karnataka,BIJAPUR,Other,Importation_Of_Girls_From_Foreign_Countries,0
Karnataka,BIDAR,Violent Crime,Hurt/Grevious_Hurt,8376
Karnataka,BIDAR,Property Crime,Theft,5610
Karnataka,BIDAR,Property Crime,Other_Theft,3139
Karnataka,BIDAR,Property Crime,Auto_Theft,2471
Karnataka,BIDAR,Negligence,Causing_Death_By_Negligence,2299
Karnataka,BIDAR,Property Crime,Burglary,1847
Karnataka,BIDAR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1747
Karnataka,BIDAR,Violent Crime,Riots,1378
Karnataka,BIDAR,Trust/Deception Crime,Cheating,1326
Karnataka,BIDAR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1205
Karnataka,BIDAR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,807
Karnataka,BIDAR,Violent Crime,Attempt_To_Murder,782
Karnataka,BIDAR,Sexual Crime,Other_Rape,476
Karnataka,BIDAR,Trust/Deception Crime,Criminal_Breach_Of_Trust,422
Karnataka,BIDAR,Family-Related Crime,Dowry_Deaths,240
Karnataka,BIDAR,Sexual Crime,Insult_To_Modesty_Of_Women,153
